Andhra Pradesh," 29-02-2020",5.8,33091304,40.19,79.74,15.9129
Assam," 29-02-2020",5.88,20176536,41.61,79.74,15.9129
Bihar," 29-02-2020",11.67,52563311,37.5,79.74,15.9129
Chandigarh," 29-02-2020",16.67,316887,39.25,79.74,15.9129
Chhattisgarh," 29-02-2020",8.69,18390228,45.92,79.74,15.9129
Delhi," 29-02-2020",14.5,11712614,41.31,79.74,15.9129
Goa," 29-02-2020",2.37,956136,38.07,79.74,15.9129
Gujarat," 29-02-2020",6.35,49515590,49.97,79.74,15.9129
Haryana," 29-02-2020",25.42,14645884,43.97,79.74,15.9129
Himachal Pradesh," 29-02-2020",19.86,4360536,45.52,79.74,15.9129
Jammu & Kashmir," 29-02-2020",20.62,6447026,39.55,79.74,15.9129
Jharkhand," 29-02-2020",13.53,20850850,44.62,79.74,15.9129
Karnataka," 29-02-2020",3.53,43355437,40.44,79.74,15.9129
Kerala," 29-02-2020",7.53,19656046,37.68,79.74,15.9129
Madhya Pradesh," 29-02-2020",4.65,45422958,38.75,79.74,15.9129
Maharashtra," 29-02-2020",4.76,84832634,43.59,79.74,15.9129
Meghalaya," 29-02-2020",4.57,2693658,57.17,79.74,15.9129
Odisha," 29-02-2020",2.87,28561470,40.8,79.74,15.9129
Puducherry," 29-02-2020",1.76,987922,41.56,79.74,15.9129
Punjab," 29-02-2020",11.12,18458094,41.24,79.74,15.9129
Rajasthan," 29-02-2020",15.55,40657830,41.74,79.74,15.9129
Tamil Nadu," 29-02-2020",2.19,55141178,43.18,79.74,15.9129
Telangana," 29-02-2020",8.02,33651940,56.98,79.74,15.9129
Tripura," 29-02-2020",29.5,3169372,68.22,79.74,15.9129
Uttar Pradesh," 29-02-2020",9.58,116121062,39.3,79.74,15.9129
Uttarakhand," 29-02-2020",5.04,6041862,36.25,79.74,15.9129
West Bengal," 29-02-2020",5.42,73928355,47.11,79.74,15.9129
Andhra Pradesh," 29-02-2020",5.8,33091304,40.19,92.9376,26.2006
Assam," 29-02-2020",5.88,20176536,41.61,92.9376,26.2006
Bihar," 29-02-2020",11.67,52563311,37.5,92.9376,26.2006
Chandigarh," 29-02-2020",16.67,316887,39.25,92.9376,26.2006
Chhattisgarh," 29-02-2020",8.69,18390228,45.92,92.9376,26.2006
Delhi," 29-02-2020",14.5,11712614,41.31,92.9376,26.2006
Goa," 29-02-2020",2.37,956136,38.07,92.9376,26.2006
Gujarat," 29-02-2020",6.35,49515590,49.97,92.9376,26.2006
Haryana," 29-02-2020",25.42,14645884,43.97,92.9376,26.2006
Himachal Pradesh," 29-02-2020",19.86,4360536,45.52,92.9376,26.2006
Jammu & Kashmir," 29-02-2020",20.62,6447026,39.55,92.9376,26.2006
Jharkhand," 29-02-2020",13.53,20850850,44.62,92.9376,26.2006
Karnataka," 29-02-2020",3.53,43355437,40.44,92.9376,26.2006
Kerala," 29-02-2020",7.53,19656046,37.68,92.9376,26.2006
Madhya Pradesh," 29-02-2020",4.65,45422958,38.75,92.9376,26.2006
Maharashtra," 29-02-2020",4.76,84832634,43.59,92.9376,26.2006
Meghalaya," 29-02-2020",4.57,2693658,57.17,92.9376,26.2006
Odisha," 29-02-2020",2.87,28561470,40.8,92.9376,26.2006
Puducherry," 29-02-2020",1.76,987922,41.56,92.9376,26.2006
Punjab," 29-02-2020",11.12,18458094,41.24,92.9376,26.2006
Rajasthan," 29-02-2020",15.55,40657830,41.74,92.9376,26.2006
Tamil Nadu," 29-02-2020",2.19,55141178,43.18,92.9376,26.2006
Telangana," 29-02-2020",8.02,33651940,56.98,92.9376,26.2006
Tripura," 29-02-2020",29.5,3169372,68.22,92.9376,26.2006
Uttar Pradesh," 29-02-2020",9.58,116121062,39.3,92.9376,26.2006
Uttarakhand," 29-02-2020",5.04,6041862,36.25,92.9376,26.2006
West Bengal," 29-02-2020",5.42,73928355,47.11,92.9376,26.2006
Andhra Pradesh," 29-02-2020",5.8,33091304,40.19,85.3131,25.0961
Assam," 29-02-2020",5.88,20176536,41.61,85.3131,25.0961
Bihar," 29-02-2020",11.67,52563311,37.5,85.3131,25.0961
Chandigarh," 29-02-2020",16.67,316887,39.25,85.3131,25.0961
Chhattisgarh," 29-02-2020",8.69,18390228,45.92,85.3131,25.0961
Delhi," 29-02-2020",14.5,11712614,41.31,85.3131,25.0961
Goa," 29-02-2020",2.37,956136,38.07,85.3131,25.0961
Gujarat," 29-02-2020",6.35,49515590,49.97,85.3131,25.0961
Haryana," 29-02-2020",25.42,14645884,43.97,85.3131,25.0961
Himachal Pradesh," 29-02-2020",19.86,4360536,45.52,85.3131,25.0961
Jammu & Kashmir," 29-02-2020",20.62,6447026,39.55,85.3131,25.0961
Jharkhand," 29-02-2020",13.53,20850850,44.62,85.3131,25.0961
Karnataka," 29-02-2020",3.53,43355437,40.44,85.3131,25.0961
Kerala," 29-02-2020",7.53,19656046,37.68,85.3131,25.0961
Madhya Pradesh," 29-02-2020",4.65,45422958,38.75,85.3131,25.0961
Maharashtra," 29-02-2020",4.76,84832634,43.59,85.3131,25.0961
Meghalaya," 29-02-2020",4.57,2693658,57.17,85.3131,25.0961
Odisha," 29-02-2020",2.87,28561470,40.8,85.3131,25.0961
Puducherry," 29-02-2020",1.76,987922,41.56,85.3131,25.0961
Punjab," 29-02-2020",11.12,18458094,41.24,85.3131,25.0961
Rajasthan," 29-02-2020",15.55,40657830,41.74,85.3131,25.0961
Tamil Nadu," 29-02-2020",2.19,55141178,43.18,85.3131,25.0961
Telangana," 29-02-2020",8.02,33651940,56.98,85.3131,25.0961
Tripura," 29-02-2020",29.5,3169372,68.22,85.3131,25.0961
Uttar Pradesh," 29-02-2020",9.58,116121062,39.3,85.3131,25.0961
Uttarakhand," 29-02-2020",5.04,6041862,36.25,85.3131,25.0961
West Bengal," 29-02-2020",5.42,73928355,47.11,85.3131,25.0961
Andhra Pradesh," 29-02-2020",5.8,33091304,40.19,81.8661,21.2787
Assam," 29-02-2020",5.88,20176536,41.61,81.8661,21.2787
Bihar," 29-02-2020",11.67,52563311,37.5,81.8661,21.2787
Chandigarh," 29-02-2020",16.67,316887,39.25,81.8661,21.2787
Chhattisgarh," 29-02-2020",8.69,18390228,45.92,81.8661,21.2787
Delhi," 29-02-2020",14.5,11712614,41.31,81.8661,21.2787
Goa," 29-02-2020",2.37,956136,38.07,81.8661,21.2787
Gujarat," 29-02-2020",6.35,49515590,49.97,81.8661,21.2787
Haryana," 29-02-2020",25.42,14645884,43.97,81.8661,21.2787
Himachal Pradesh," 29-02-2020",19.86,4360536,45.52,81.8661,21.2787
Jammu & Kashmir," 29-02-2020",20.62,6447026,39.55,81.8661,21.2787
Jharkhand," 29-02-2020",13.53,20850850,44.62,81.8661,21.2787
Karnataka," 29-02-2020",3.53,43355437,40.44,81.8661,21.2787
Kerala," 29-02-2020",7.53,19656046,37.68,81.8661,21.2787
Madhya Pradesh," 29-02-2020",4.65,45422958,38.75,81.8661,21.2787
Maharashtra," 29-02-2020",4.76,84832634,43.59,81.8661,21.2787
Meghalaya," 29-02-2020",4.57,2693658,57.17,81.8661,21.2787
Odisha," 29-02-2020",2.87,28561470,40.8,81.8661,21.2787
